Claim ID,Customer,Month,WeekOfMonth,DayOfWeek,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Fault,FraudFound_P,RepNumber,Days_Policy_Accident,Days_Policy_Claim,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,BasePolicy,Vehicle Class,AccidentArea,Age,Product Name,VehiclePrice,DriverRating,AgeOfVehicle
CLM1000001,BU79786,Dec,5,Wednesday,Tuesday,Jan,1,Policy Holder,0,12,more than 30,more than 30,No,No,External,none,1 year,Liability,Two-Door Car,Urban,21,Sport - Liability,more than 69000,1,3 years
CLM1000002,QZ44356,Jan,3,Wednesday,Monday,Jan,4,Policy Holder,0,15,more than 30,more than 30,Yes,No,External,none,no change,Collision,Four-Door Car,Urban,34,Sport - Collision,more than 69000,4,6 years
CLM1000003,AI49188,Oct,5,Friday,Thursday,Nov,2,Policy Holder,0,7,more than 30,more than 30,No,No,External,none,no change,Collision,Two-Door Car,Urban,47,Sport - Collision,more than 69000,3,7 years
CLM1000004,WW63253,Jun,2,Saturday,Friday,Jul,1,Third Party,0,4,more than 30,more than 30,Yes,No,External,more than 5,no change,Liability,SUV,Rural,65,Sedan - Liability,20000 to 29000,2,more than 7
CLM1000005,HB64268,Jan,5,Monday,Tuesday,Feb,2,Third Party,0,3,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,27,Sport - Collision,more than 69000,1,5 years
CLM1000006,OC83172,Oct,4,Friday,Wednesday,Nov,1,Third Party,0,12,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,Two-Door Car,Urban,20,Sport - Collision,more than 69000,3,5 years
CLM1000007,XZ87318,Feb,1,Saturday,Monday,Feb,3,Third Party,0,14,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Four-Door Car,Urban,36,Sport - Collision,more than 69000,1,7 years
CLM1000008,CF85061,Nov,1,Friday,Tuesday,Mar,4,Policy Holder,0,1,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,0,Sport - Collision,more than 69000,4,new
CLM1000009,DY87989,Dec,4,Saturday,Wednesday,Dec,5,Policy Holder,0,7,more than 30,more than 30,No,Yes,External,3 to 5,no change,Collision,Four-Door Car,Urban,30,Sport - Collision,more than 69000,4,6 years
CLM10000010,BQ94931,Apr,3,Tuesday,Wednesday,Apr,3,Policy Holder,0,7,more than 30,more than 30,No,No,External,3 to 5,no change,All Perils,Four-Door Car,Urban,42,Utility - All Perils,more than 69000,1,more than 7
CLM10000011,SX51350,Mar,2,Sunday,Wednesday,Mar,3,Policy Holder,0,7,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,71,Sedan - All Perils,more than 69000,3,more than 7
CLM10000012,VQ65197,Mar,5,Monday,Monday,Mar,5,Policy Holder,0,13,more than 30,more than 30,No,No,External,none,no change,Liability,SUV,Urban,52,Sedan - Liability,20000 to 29000,1,more than 7
