S.no,Customer ID,Product
1,LK73198,Sport - Collision
2,WT38706,Sport - All Perils
3,RO89785,Utility - Collision
4,QA71190,Sport - All Perils
5,VP84987,Sport - Liability
6,MA37431,Utility - Collision
7,ST96866,Sedan - Liability
8,CN90378,Sedan - Liability
9,VV81837, Sedan - All Perils
10,AW73065,Utility - Collision
11,IN28584,Utility - Liability
12,UF36353,Utility - All Perils
13,ME37051,Sedan - Collision
14,YQ98465,Sedan - Collision
15,UH45301,Sport - All Perils
16,EZ71780,Utility - Liability
17,IX37561, Sedan - All Perils
18,ZG18090,Sport - All Perils
19,FQ46354,Sport - Collision
20,NY24020,Sedan - Liability
21,ET89070,Utility - Liability
22,OY32548,Sedan - Liability
23,ZN86559,Utility - All Perils
24,EW13798,Utility - All Perils
25,XK99408,Utility - All Perils
26,BX24569,Utility - All Perils
27,GM63998,Utility - All Perils
28,EP80820, Sedan - All Perils
29,NK91656,Sport - Collision
30,LA60344,Sport - Liability
31,MM67983,Utility - All Perils
32,IF80474,Sport - Liability
33,DQ98402,Sport - Liability
34,ZT18953,Sport - Collision
35,SD94067,Utility - Liability
36,PS69748,Utility - All Perils
37,HF65914,Sedan - Liability
38,ZP80713,Sedan - Collision
39,EW35231,Utility - All Perils
40,ZR11692,Sedan - Liability
41,VY75186, Sedan - All Perils
42,BS13062, Sedan - All Perils
43,UL96474, Sedan - All Perils
44,HL40930, Sedan - All Perils
45,SU44811,Sedan - Liability
46,PZ47901,Sedan - Collision
47,VZ59523,Utility - Collision
48,AW84946,Sport - All Perils
49,LA72316,Sport - Liability
50,QI63521,Sport - Collision
51,RC44077,Utility - Liability
52,XX29952,Utility - All Perils
53,ID89933,Sedan - Liability
54,FI61059,Sport - Liability
55,LH26563,Utility - Liability
56,IQ30108,Sport - Liability
57,HN38084,Sport - Liability
58,EK87467,Utility - Collision
59,EZ11341,Sport - All Perils
60,DO70918,Sedan - Collision
61,JI80257,Utility - Collision
62,MF83904,Utility - All Perils
63,PW88443, Sedan - All Perils
64,SM42781,Sport - Liability
65,PW98890,Sport - Collision
66,MN79082,Sport - Liability
67,GR31499,Sedan - Collision
68,RR39751,Sedan - Collision
69,CQ72935,Utility - All Perils
70,HZ68892,Utility - Collision
71,OS96036,Sedan - Liability
72,YE88490,Sedan - Liability
73,VZ23007,Sedan - Liability
74,CN24514,Sport - All Perils
75,BE78308,Utility - Collision
76,MB90871, Sedan - All Perils
77,TV23956,Sedan - Collision
78,XH71839,Sedan - Collision
79,JA26024,Utility - Collision
80,VA30351,Sport - Collision
81,ZX93551,Utility - Collision
82,UV99893,Sport - All Perils
83,CJ64468,Sport - All Perils
84,YN61339,Utility - Liability
85,NE16405,Utility - Liability
86,CZ96653,Utility - All Perils
87,FD20455, Sedan - All Perils
